X,Y,OBJECTID_1,NAZIV,ADRESA
451439.2708,5075080.6941,1,INA,ALEJA GRADA BOLONJE 68
454032.6407,5074890.1458,2,INA,ILICA 419
455847.8906,5075128.7219,3,INA,ILICA 278
459474.7128,5077205.5769,4,INA,KSAVERSKA CESTA 2F
459734.5564,5075109.9369,5,INA,TRG JOSIPA LANGA 13
462172.7968,5075623.073,6,INA,BUKOVAČKA CESTA 2
463505.8625,5075941.3422,7,INA,MAKSIMIRSKA CESTA 150
463481.3884,5076024.1281,8,INA,MAKSIMIRSKA CESTA 131
465530.0356,5076782.7894,9,INA,DANKOVEČKA ULICA 2
468832.277,5076565.0762,10,INA,ZAGREBAČKA CESTA 38
469351.4371,5076468.7557,11,INA,ZAGREBAČKA CESTA 19
472247.4198,5076242.3588,12,INA,SELSKA CESTA 16
467703.5329,5074031.4665,13,INA,SLAVONSKA AVENIJA 25
465722.9958,5073567.7849,14,INA,SLAVONSKA AVENIJA 54
464071.2026,5073301.964,15,INA,SLAVONSKA AVENIJA 7A
463835.5157,5073933.522,16,INA,ULICA MARIJANA ĆAVIĆA 2
461940.2539,5073856.4985,17,INA,ULICA VJEKOSLAVA HEINZELA 63
462022.2316,5074406.0222,18,INA,PLANINSKA ULICA 2D
460625.5368,5074080.6648,19,INA,AVENIJA MARINA DRŽIĆA 1B
461770.1377,5073014.2978,20,INA,SLAVONSKA AVENIJA 6B
461419.2981,5072169.9491,21,INA,AVENIJA MARINA DRŽIĆA 100
461512.1981,5072230.6734,22,INA,AVENIJA MARINA DRŽIĆA 91
459847.8158,5073556.2459,23,INA,ULICA GRADA VUKOVARA 45
459173.2345,5073671.5465,24,INA,MIRAMARSKA CESTA 25
458072.1336,5074435.1522,25,INA,ULICA VATROSLAVA JAGIĆA 31A
458066.147,5074236.4245,26,INA,ULICA BOŽIDARA ADŽIJE 7B
457994.7004,5073913.2785,27,INA,ULICA SILVIJA STRAHIMIRA KRANJČEVIĆA 6A
457683.4139,5073475.2036,28,INA,NOVA CESTA 102
456719.3166,5073467.1324,29,INA,SELSKA CESTA 131
455344.3097,5072891.7766,30,INA,ZAGREBAČKA AVENIJA 5C
454721.9675,5073040.6745,31,INA,ZAGREBAČKA AVENIJA 90
454518.7895,5073575.7469,32,INA,ZAGREBAČKA CESTA 199
453134.3806,5073223.7278,33,INA,ZAGREBAČKA AVENIJA 102
451576.8988,5070747.1177,34,INA,LUČKO 82
451920.4381,5070660.3539,35,INA,LUČKO 78
456204.5886,5070235.8245,36,INA,JADRANSKA AVENIJA 3
456143.6845,5070338.5982,37,INA,JADRANSKA AVENIJA 4
458884.6399,5070907.2956,38,INA,SIGET 2
461002.5107,5071075.7019,39,INA,AVENIJA DUBROVNIK 25
460428.502,5070110.8642,40,INA,ULICA SAVEZNE REPUBLIKE NJEMAČKE 1A
460385.5093,5070073.0566,41,INA,ULICA SAVEZNE REPUBLIKE NJEMAČKE 12
450706.0946,5073222.7199,42,TIFON,LJUBLJANSKA AVENIJA 10
455249.1111,5072235.5333,43,TIFON,HORVAĆANSKA CESTA 71
453462.6416,5068971.1523,44,TIFON,KARLOVAČKA CESTA 88
453381.747,5064509.9726,45,TIFON,BREZOVIČKA CESTA 122B
460423.9744,5067835.6143,46,TIFON,BANEKI 18
470033.5982,5073792.7688,47,TIFON,SLAVONSKA AVENIJA 110
450425.7079,5074879.648,48,CRODUX,SAMOBORSKA CESTA 145A
454114.9314,5073051.3855,49,CRODUX,ZAGREBAČKA AVENIJA 9
462098.5515,5073004.0942,50,CRODUX,SLAVONSKA AVENIJA 8
461866.9472,5073081.63,51,CRODUX,SLAVONSKA AVENIJA 1/1
465368.454,5073606.4272,52,CRODUX,SLAVONSKA AVENIJA 11C
469620.8049,5074061.5057,53,CRODUX,SLAVONSKA AVENIJA 61
469079.772,5075563.8973,54,CRODUX,ULICA LJUDEVITA POSAVSKOG 7
468940.0958,5076029.9242,55,CRODUX,ULICA LJUDEVITA POSAVSKOG 4
472847.2883,5076175.0603,56,CRODUX,KOBILJAČKA CESTA 11
476101.3271,5081057.8206,57,CRODUX,LAKTEČKA CESTA 12
476134.5937,5081205.2563,58,CRODUX,LAKTEČKA CESTA 10
463121.5784,5075100.3754,59,CRODUX,ULICA KNEZA BRANIMIRA 103A
459582.3191,5070018.7345,60,CRODUX,AVENIJA VEĆESLAVA HOLJEVCA 30
455547.7042,5069941.9158,61,CRODUX,JADRANSKA AVENIJA 11
453306.7558,5069130.5852,62,CRODUX,KARLOVAČKA CESTA 221
462152.8872,5066167.9428,63,CRODUX,NADINSKA ULICA 25
449051.7902,5075187.7725,64,PETROL,SAMOBORSKA CESTA 225
450159.6074,5074439.2143,65,PETROL,ULICA VELIMIRA ŠKORPIKA 18
454842.0304,5073906.9524,66,PETROL,ZAGREBAČKA CESTA 168
463841.829,5075280.7274,67,PETROL,ULICA KNEZA BRANIMIRA 117
464267.9983,5075365.9266,68,PETROL,ULICA KNEZA BRANIMIRA 10A
